# comment: Manual integration of the DMPinfoPool ontologie with related ontologies.
# curie_map:
#   cd4xas: http://www.purl.org/cdif4xas/
#   cdif: http://ddialliance.org/Specification/DDI-CDI/1.0/RDF/
#   orcid: https://orcid.org/
#   owl: http://www.w3.org/2002/07/owl#
#   panet: http://purl.org/pan-science/PaNET/
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   sidf: https://si-digital-framework.org/SI/units/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
#   wikidata: https://www.wikidata.org/wiki/
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_date: '2025-06-01'
# mapping_set_description: Manual integration of the XAS variable cascade ontologie with related ontologies.
# mapping_set_id: http://www.purl.org/cdif4xas/cdif4xas.mappings.sssom.tsv
# mapping_set_version: '2025-06-01'
# object_source: http://www.purl.org/cdif4xas/
# object_source_version: http://www.purl.org/cdif4xas/
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	object_source_version	mapping_date	confidence	comment
cd4xas:ControlledVocabularyEntry-numeric	ControlledVocabularyEntry-numeric	cdif:ControlledVocabularyEntry-entryValue	numeric	numeric	semapv:ManualMappingCuration	orcid:0000-0001-9121-8643		2025-06-24	1.0	
cd4xas:conceptualVariable-Angle	Conceptual variable Angle	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Intensity	Conceptual variable Intensity	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration			2025-07-07		
cd4xas:conceptualVariable-Transmission	Conceptual variable Transmission	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration			2025-07-07		
cd4xas:conceptualVariable-Reference	Conceptual variable Reference	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration			2025-07-07		
cd4xas:conceptualVariable-Fluorescence	Conceptual variable Fluorescence	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration			2025-07-07		
cd4xas:conceptualVariable-Mu-Transmission	Conceptual variable Mu Transmission	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration			2025-07-07		
cd4xas:conceptualVariable-Mu-Reference	Conceptual variable Mu Reference	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration			2025-07-07		
cd4xas:conceptualVariable-Mu-Fluorescence	Conceptual variable Mu Fluorescence	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration			2025-07-07		
cd4xas:conceptualVariable-Normalised-Transmission	Conceptual variable Normalised Transmission	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration			2025-07-07		
cd4xas:conceptualVariable-Normalised-Reference	Conceptual variable Normalised Reference	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration			2025-07-07		
cd4xas:conceptualVariable-Normalised-Fluorescence	Conceptual variable Normalised Fluorescence	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration			2025-07-07		
cd4xas:conceptualVariable-K	Conceptual variable K	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Chi	Conceptual variable Chi	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Chi-Mag	Conceptual variable Chi Mag	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Chi-Pha	Conceptual variable Chi Pha	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Chi-Re	Conceptual variable Chi Re	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Chi-Im	Conceptual variable Chi Im	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-R	Conceptual variable R	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Chir-Mag	Conceptual variable Chir Mag	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Chir-Pha	Conceptual variable Chir Pha	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Chir-Re	Conceptual variable Chir Re	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Chir-Im	Conceptual variable Chir Im	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Facility-Name	Conceptual variable Facility Name	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Facility-Energy	Conceptual variable Facility Energy	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Facility-Current	Conceptual variable Facility Current	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Facility-Xray-Source	Conceptual variable Facility Xray Source	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Beamline-Name	Conceptual variable Beamline Name	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Beamline-Collimation	Conceptual variable Beamline Collimation	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Beamline-Focusing	Conceptual variable Beamline Focusing	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Beamline-Harmonic-Rejection	Conceptual variable Beamline Harmonic Rejection	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Mono-Name	Conceptual variable Mono Name	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Mono-D-Spacing	Conceptual variable Mono D Spacing	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Detector-I0	Conceptual variable Detector I0	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Detector-It	Conceptual variable Detector It	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Detector-If	Conceptual variable Detector If	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Detector-Ir	Conceptual variable Detector Ir	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Sample-Name	Conceptual variable Sample Name	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Sample-Id	Conceptual variable Sample Id	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Sample-Stoichiometry	Conceptual variable Sample Stoichiometry	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Sample-Prep	Conceptual variable Sample Prep	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Sample-Experimenters	Conceptual variable Sample Experimenters	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Sample-Temperature	Conceptual variable Sample Temperature	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Scan-Start-Time	Conceptual variable Scan Start Time	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Scan-End-Time	Conceptual variable Scan End Time	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Scan-Edge-Energy	Conceptual variable Scan Edge Energy	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Element-Symbol	Conceptual variable Element Symbol	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Element-Edge	Conceptual variable Element Edge	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Element-Reference	Conceptual variable Element Reference	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:conceptualVariable-Element-Ref-Edge	Conceptual variable Element Ref Edge	rdf:type	cdif:ConceptualVariable	ConceptualVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-07		
cd4xas:representedVariable-Angle-Degrees	Represented variable Angle Degrees	rdf:type	cdif:RepresentedVariable	RepresentedVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-09		
cd4xas:representedVariable-Angle-Degrees	Represented variable Angle Degrees	cdif:Concept_uses_Concept	cd4xas:conceptualVariable-Angle	Conceptual variable Angle	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-09		
cd4xas:representedVariable-Angle-Degrees	Represented variable Angle Degrees	cdif:RepresentedVariable-simpleUnitOfMeasure	sidf:degree	degree	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-09		
cd4xas:representedVariable-Angle-Radians	Represented variable Angle Radians	rdf:type	cdif:RepresentedVariable	RepresentedVariable	semapv:ManualMappingCuration	orcid:0000-0002-6279-7823		2025-07-09		
